,,,Goalies,,,,,,,,,
Player Name,Team,Games,W,L,OTL,GAA,GA,SA,SV,SV%,SO,MIN
Carey Price,MON,72,38,28,6,2.4,165,"2,147","1,982",.923,8,"4,206"
Roberto Luongo,FA,60,38,15,7,2.1,126,"1,753","1,627",.928,4,"3,590"
Jimmy Howard,DET,63,37,17,5,2.8,168,"1,830","1,662",.908,2,"3,615"
Miikka Kiprusoff,FA,71,37,24,6,2.6,182,"1,935","1,753",.906,6,"4,156"
Cam Ward,FA,74,37,26,10,2.6,184,"2,375","2,191",.923,4,"4,318"
Ilya Bryzgalov,FA,68,36,20,10,2.5,168,"2,125","1,957",.921,7,"4,060"
Henrik Lundqvist,NYR,68,36,27,5,2.3,152,"1,965","1,813",.923,11,"4,007"
Marc-Andre Fleury,VGK,65,36,20,5,2.3,143,"1,742","1,599",.918,3,"3,695"
Tim Thomas,FA,57,35,11,9,2.0,112,"1,811","1,699",.938,9,"3,364"
Antti Niemi,FA,60,35,18,6,2.4,140,"1,741","1,601",.920,6,"3,524"
Jonathan Quick,LA,61,35,22,3,2.3,134,"1,631","1,497",.918,6,"3,591"
Ryan Miller,ANH,66,34,22,8,2.6,165,"1,964","1,799",.916,5,"3,829"
Kari Lehtonen,FA,69,34,24,11,2.6,175,"2,043","1,868",.914,3,"4,119"
Corey Crawford,CHI,57,33,18,6,2.3,128,"1,545","1,417",.917,4,"3,337"
Pekka Rinne,NSH,64,33,22,9,2.1,134,"1,905","1,771",.930,6,"3,789"
Sergei Bobrovsky,FLA,54,28,13,8,2.6,130,"1,527","1,397",.915,0,"3,017"
Jaroslav Halak,BOS,57,27,21,7,2.5,136,"1,518","1,382",.910,7,"3,294"
Michal Neuvirth,FA,48,27,12,4,2.5,110,"1,283","1,173",.914,4,"2,689"
Jonas Hiller,FA,49,26,16,3,2.6,114,"1,493","1,379",.924,5,"2,672"
Steve Mason,FA,54,24,21,7,3.1,153,"1,541","1,388",.901,3,"3,027"
Dwayne Roloson,FA,54,24,25,5,2.6,138,"1,596","1,458",.914,4,"3,199"
Craig Anderson,OTT,51,24,20,4,2.8,135,"1,546","1,411",.913,2,"2,865"
Martin Brodeur,FA,56,23,26,3,2.5,127,"1,313","1,186",.903,6,"3,116"
Tomas Vokoun,FA,57,22,28,5,2.6,137,"1,753","1,616",.922,6,"3,224"
Niklas Backstrom,FA,51,22,23,5,2.7,132,"1,566","1,434",.916,3,"2,978"
Dan Ellis,FA,44,21,10,7,2.8,111,"1,089",978,.898,2,"2,408"
Ondrej Pavelec,FA,58,21,23,9,2.8,147,"1,705","1,558",.914,4,"3,225"
James Reimer,CAR,37,20,10,5,2.6,90,"1,134","1,044",.921,3,"2,080"
Brian Boucher,PHI,34,18,10,4,2.4,76,902,826,.916,0,"1,885"
Cory Schneider,NJ,25,16,4,2,2.3,51,714,663,.929,1,"1,372"
Johan Hedberg,FA,34,15,12,2,2.4,68,777,709,.912,3,"1,717"
Peter Budaj,FA,45,15,21,4,3.2,130,"1,234","1,104",.895,1,"2,439"
Jose Theodore,FA,32,15,11,3,2.7,81,963,882,.916,1,"1,793"
Brian Elliott,PHI,55,15,27,9,3.4,166,"1,551","1,385",.893,3,"2,983"
Chris Mason,FA,33,13,13,3,3.4,95,882,787,.892,1,"1,682"
Mike Smith,EDM,22,13,6,1,2.9,58,576,518,.899,1,"1,202"
Brent Johnson,FA,23,13,5,3,2.2,47,604,557,.922,1,"1,297"
Devan Dubnyk,MIN,35,12,13,8,2.7,93,"1,103","1,010",.916,2,"2,061"
Antero Niittymaki,FA,24,12,7,3,2.7,64,615,551,.896,0,"1,414"
Anders Lindback,FA,22,11,5,2,2.6,49,576,527,.915,2,"1,131"
Jean-Sebastien Giguere,FA,33,11,11,4,2.9,78,777,699,.900,0,"1,633"
Semyon Varlamov,NYI,27,11,9,5,2.2,58,759,701,.924,2,"1,560"
Marty Turco,FA,30,11,11,3,3.0,82,799,717,.897,1,"1,631"
Jonathan Bernier,DET,25,11,8,3,2.5,57,652,595,.913,3,"1,378"
Tuukka Rask,BOS,29,11,14,2,2.7,71,866,795,.918,2,"1,594"
Nikolai Khabibulin,FA,47,10,32,4,3.4,153,"1,389","1,236",.890,2,"2,701"
Braden Holtby,WAS,14,10,2,2,1.8,22,332,310,.934,2,736
Mathieu Garon,FA,36,10,14,6,2.7,88,887,799,.901,3,"1,938"
Curtis McElhinney,TB,28,9,13,1,3.2,74,721,647,.897,2,"1,395"
Jhonas Enroth,FA,14,9,2,2,2.7,35,377,342,.907,1,769
Al Montoya,FA,21,9,5,5,2.4,46,585,539,.921,1,"1,154"
Andrew Raycroft,FA,19,8,5,0,2.9,40,446,406,.910,2,847
Ty Conklin,FA,25,8,8,4,3.2,69,582,513,.881,2,"1,285"
Scott Clemmensen,FA,31,8,11,7,2.6,74,833,759,.911,1,"1,696"
Martin Biron,FA,17,8,6,0,2.2,33,426,393,.923,0,928
Rick DiPietro,FA,26,8,14,4,3.5,88,773,685,.886,1,"1,533"
Jason LaBarbera,FA,17,7,6,3,3.3,48,529,481,.909,2,883
Ray Emery,FA,10,7,2,0,2.3,20,272,252,.926,0,527
Alex Auld,FA,16,6,2,2,2.7,33,383,350,.914,0,749
Jonas Gustavsson,FA,23,6,13,2,3.3,68,620,552,.890,0,"1,242"
Joey MacDonald,FA,15,5,5,3,2.6,31,372,341,.917,1,721
Chris Osgood,FA,11,5,3,2,2.8,29,298,269,.903,0,629
Henrik Karlsson,CHI,17,4,5,6,2.6,36,391,355,.908,0,838
Pascal Leclaire,FA,14,4,7,1,2.9,36,391,355,.908,0,763
Kevin Poulin,FA,10,4,2,1,2.5,20,262,242,.924,0,491
Martin Gerber,FA,3,3,0,0,1.3,4,95,91,.958,0,185
Justin Peters,FA,12,3,5,1,4.0,43,343,300,.875,0,648
Ben Bishop,DAL,7,3,4,0,2.8,17,168,151,.899,1,369
Anton Khudobin,DAL,4,2,1,0,1.6,5,86,81,.942,1,189
Cedrick Desjardins,FA,2,2,0,0,1.0,2,63,61,.968,0,120
Mikko Koskinen,EDM,4,2,1,0,4.4,15,118,103,.873,0,208
Michael Leighton,FA,1,1,0,0,4.1,4,36,32,.889,0,60
Alex Stalock,MIN,1,1,0,0,0.0,0,9,9,1.000,0,30
Nathan Lawson,FA,10,1,4,2,4.1,26,243,217,.893,0,384
Robin Lehner,VGK,8,1,4,0,3.6,20,178,158,.888,0,341
Richard Bachman,VAN,1,0,0,0,0.0,0,4,4,1.000,0,10
Timo Pielmeier,NJ,1,0,0,0,7.5,5,12,7,.583,0,40
Tom McCollum,NYR,1,0,0,0,12.9,3,8,5,.625,0,15
David LeNeveu,FA,1,0,0,0,6.0,2,12,10,.833,0,20
Mike McKenna,FA,2,0,1,0,3.1,6,56,50,.893,0,118
Matt Climie,FA,1,0,0,0,1.9,1,16,15,.938,0,32
Patrick Lalime,FA,7,0,5,0,3.0,18,163,145,.890,0,365
Mark Dekanich,FA,1,0,0,0,3.7,3,25,22,.880,0,50
Chad Johnson,FA,1,0,0,0,6.0,2,11,9,.818,0,20
Mike Brodeur,MIN,4,0,1,0,4.4,7,42,35,.833,0,97
Peter Mannino,FA,2,0,0,0,4.2,5,36,31,.861,0,73
Jacob Markstrom,VAN,1,0,1,0,3.1,2,14,12,.857,0,40