,,,,Overall,,,,,,,PP,,SH,,Defense,
Player Name,Team,Pos,Games,G,A,Pts,+/-,PIM,SOG,GWG,G,A,G,A,Hits,BS
Corey Perry,DAL,RW,82,50,48,98,9,104,290,11,14,17,4,1,64,41
Steven Stamkos,TB,C,82,45,46,91,3,74,272,8,17,19,0,0,84,37
Jarome Iginla,FA,RW,82,43,43,86,0,40,289,6,14,16,0,0,103,28
Ryan Kesler,ANH,C,82,41,32,73,24,66,260,7,15,15,3,1,124,80
Daniel Sedin,FA,LW,82,41,63,104,30,32,266,10,18,24,0,0,13,12
Patrick Marleau,PIT,LW,82,37,36,73,-3,16,279,9,11,15,2,1,86,31
Jeff Carter,LA,C,80,36,30,66,27,39,335,7,8,9,0,0,65,41
Bobby Ryan,OTT,RW,82,34,37,71,15,61,270,5,5,5,1,0,156,34
Daniel Briere,FA,RW,77,34,34,68,20,87,246,6,6,9,0,0,36,17
Michael Grabner,ARI,RW,76,34,18,52,13,10,228,3,2,2,6,1,22,26
Patrick Sharp,FA,LW,74,34,37,71,-1,38,268,6,12,14,2,1,76,26
Brenden Morrow,FA,LW,82,33,23,56,-3,76,209,5,9,4,1,0,225,43
Eric Staal,MIN,C,81,33,43,76,-10,72,296,8,12,17,3,0,81,31
Alex Ovechkin,WAS,LW,79,32,53,85,24,41,367,11,7,17,0,0,241,23
Rick Nash,FA,LW,75,32,34,66,2,34,305,7,6,8,0,0,91,19
Phil Kessel,ARI,RW,82,32,32,64,-20,24,325,6,12,11,1,0,11,22
Jonathan Toews,CHI,C,80,32,44,76,25,26,233,8,10,15,1,1,74,28
Thomas Vanek,FA,LW,80,32,41,73,2,24,238,5,11,17,0,0,30,12
Sidney Crosby,PIT,C,41,32,34,66,20,31,161,3,10,9,1,0,31,23
Logan Couture,SJ,C,79,32,24,56,18,41,253,8,10,4,0,0,60,66
Teemu Selanne,FA,RW,73,31,49,80,6,49,213,5,16,18,0,0,15,20
David Backes,ANH,RW,82,31,31,62,32,93,211,2,5,10,0,1,213,40
Drew Stafford,FA,RW,62,31,21,52,13,34,179,4,11,8,0,0,53,5
Matt Moulson,WAS,LW,82,31,22,53,-10,24,237,3,9,6,0,0,84,48
Jeff Skinner,BUF,LW,82,31,32,63,3,46,215,2,6,12,0,0,70,28
Martin St. Louis,FA,RW,82,31,68,99,0,12,254,7,4,37,0,0,37,64
Ilya Kovalchuk,WAS,RW,81,31,29,60,-26,28,245,9,9,12,0,0,28,12
Nikolay Kulemin,FA,RW,82,30,27,57,7,26,173,5,5,8,1,0,101,48
Milan Lucic,CGY,LW,79,30,32,62,28,121,173,7,5,9,0,0,167,22
Mikhail Grabovski,FA,C,81,29,29,58,14,60,239,4,10,5,0,0,44,25
John Tavares,TOR,C,79,29,38,67,-16,53,243,4,9,15,0,0,22,23
Andrew Ladd,NYI,LW,81,29,30,59,-10,39,195,2,9,9,2,1,68,45
Brian Gionta,FA,RW,82,29,17,46,3,24,298,6,7,4,2,0,87,31
Johan Franzen,DET,RW,76,28,27,55,5,58,248,5,10,7,0,0,143,29
Chris Stewart,PHI,RW,62,28,25,53,-6,53,162,5,12,4,0,0,56,18
Brad Richards,FA,C,72,28,49,77,1,24,272,3,7,22,0,0,20,22
Dustin Brown,LA,RW,82,28,29,57,17,67,228,2,7,8,0,0,300,29
Alexander Semin,FA,LW,65,28,26,54,22,71,196,4,6,12,1,0,27,6
Rene Bourque,FA,LW,80,27,23,50,-17,42,218,6,6,9,1,2,90,26
Loui Eriksson,VAN,RW,79,27,46,73,10,8,179,6,10,15,1,2,26,46
Patrick Kane,CHI,RW,73,27,46,73,7,28,216,2,5,19,0,0,17,17
David Jones,FA,RW,77,27,18,45,-2,28,153,4,6,3,0,1,93,38
Matt Duchene,NSH,C,80,27,40,67,-8,33,202,2,3,12,0,0,57,48
Alex Burrows,FA,RW,72,26,22,48,26,77,152,4,1,0,1,1,84,24
Dany Heatley,FA,LW,80,26,38,64,8,56,217,5,11,19,1,1,104,29
Erik Cole,FA,RW,82,26,26,52,-1,49,201,9,3,5,1,1,225,34
Nathan Horton,TOR,RW,80,26,27,53,29,85,188,2,6,2,0,0,74,14
Dan Cleary,FA,LW,68,26,20,46,-1,20,192,8,5,3,0,0,112,25
Marian Hossa,FA,RW,65,25,32,57,9,32,205,2,8,11,2,1,48,23
Claude Giroux,PHI,C,82,25,51,76,20,47,169,5,8,11,3,4,117,44
R.J. Umberger,FA,LW,82,25,32,57,3,38,220,3,8,5,3,0,114,70
Anze Kopitar,LA,C,75,25,48,73,25,20,233,6,6,12,1,0,92,45
Vincent Lecavalier,FA,C,65,25,29,54,-5,43,210,5,12,16,0,0,93,25
Scott Hartnell,FA,LW,82,24,25,49,14,142,177,4,4,6,0,0,168,38
Blake Comeau,DAL,LW,77,24,22,46,-17,43,182,3,5,7,1,0,120,32
Henrik Zetterberg,DET,LW,80,24,56,80,-1,40,306,3,10,20,0,1,38,19
Mike Knuble,FA,RW,79,24,16,40,10,36,203,1,7,5,1,1,74,31
Ryane Clowe,FA,LW,75,24,38,62,13,100,185,2,5,8,0,0,153,22
Brandon Dubinsky,CLS,C,77,24,30,54,-3,100,202,2,4,7,2,2,141,31
Curtis Glencross,FA,LW,79,24,19,43,6,59,149,4,3,2,2,1,105,54
Ryan Callahan,OTT,RW,60,23,25,48,-7,46,179,5,10,5,0,2,224,77
Mike Richards,FA,C,81,23,43,66,11,62,184,4,5,16,3,3,104,73
Dustin Penner,FA,LW,81,23,22,45,-12,47,173,3,6,2,1,0,90,30
David Booth,FA,LW,82,23,17,40,-31,26,280,3,8,2,0,0,129,25
Sergei Kostitsyn,FA,LW,77,23,27,50,10,20,93,2,4,9,1,0,41,15
Pavel Datsyuk,FA,C,56,23,36,59,11,15,137,5,6,12,1,0,54,20
Ryan Smyth,FA,LW,82,23,24,47,-1,35,195,2,9,5,0,0,25,18
Chris Kunitz,FA,LW,66,23,25,48,18,47,133,2,7,4,1,1,155,14
Justin Williams,CAR,RW,73,22,35,57,14,59,213,3,5,8,0,0,51,29
Devin Setoguchi,FA,RW,72,22,19,41,-2,37,199,5,4,6,0,0,138,25
Jamie Benn,DAL,C,69,22,34,56,-5,52,177,3,6,5,4,2,124,41
Taylor Hall,ARI,LW,65,22,20,42,-9,27,186,4,8,3,0,0,48,37
Alex Tanguay,FA,LW,79,22,47,69,0,24,120,2,3,17,0,0,31,38
Jason Pominville,FA,RW,73,22,30,52,1,15,215,2,5,9,1,0,35,50
Paul Stastny,VGK,C,74,22,35,57,-7,56,181,3,4,15,1,0,74,31
James Neal,EDM,RW,79,22,23,45,7,66,212,3,5,5,0,0,159,26
Martin Havlat,FA,RW,78,22,40,62,-10,52,229,4,3,11,0,0,34,24
Tomas Plekanec,FA,C,77,22,35,57,8,60,227,4,3,15,1,1,53,45
Patrice Bergeron,BOS,C,80,22,35,57,20,26,211,4,3,8,2,1,45,56
Scottie Upshall,FA,LW,82,22,12,34,-7,52,191,2,2,1,0,0,108,26
Marian Gaborik,OTT,RW,62,22,26,48,8,18,192,4,7,9,0,0,46,22
Patrik Berglund,FA,C,81,22,30,52,-3,26,175,1,8,9,0,1,116,33
Milan Hejduk,FA,RW,71,22,34,56,-23,18,170,2,10,14,0,0,9,31
Patrik Elias,FA,LW,81,21,41,62,-4,16,204,5,7,13,1,0,62,25
Joe Thornton,SJ,C,80,21,49,70,4,47,149,3,9,24,2,0,56,35
Clarke MacArthur,OTT,LW,82,21,41,62,-3,37,154,3,6,13,0,0,115,20
Stephen Weiss,FA,C,76,21,28,49,-9,49,172,1,3,16,2,0,52,44
Tyler Kennedy,FA,LW,80,21,24,45,1,37,234,2,7,7,0,0,95,23
Jason Spezza,TOR,C,62,21,36,57,-7,28,188,2,7,10,0,1,14,24
Kris Versteeg,FA,LW,80,21,25,46,-9,53,180,0,6,8,1,0,45,57
Matt D'Agostini,FA,RW,82,21,25,46,8,40,163,5,6,8,0,0,70,36
Patric Hornqvist,PIT,RW,79,21,27,48,11,47,265,5,6,8,0,0,86,36
James van Riemsdyk,PHI,LW,75,21,19,40,15,35,173,4,3,1,0,0,107,25
Brad Marchand,BOS,LW,77,21,20,41,25,51,149,2,2,1,5,1,89,30
Derek Stepan,ARI,C,82,21,24,45,8,20,166,3,3,7,0,0,83,26
Brian Boyle,FLA,C,82,21,14,35,2,74,218,2,4,0,1,3,240,86
Tyler Ennis,EDM,LW,82,20,29,49,0,30,210,1,5,9,0,0,42,27
Shane Doan,FA,RW,72,20,40,60,5,67,221,6,11,10,0,0,172,28
Dustin Byfuglien,FA,D,81,20,33,53,-2,93,347,6,8,16,0,0,140,72
Andrei Kostitsyn,FA,LW,81,20,25,45,3,36,196,6,5,6,0,0,140,26
Andy McDonald,FA,LW,58,20,30,50,18,26,180,3,5,12,1,0,40,27
P.A. Parenteau,FA,RW,81,20,33,53,-8,46,161,2,9,11,0,0,118,28
Jarret Stoll,FA,C,82,20,23,43,-6,42,187,5,4,8,1,2,164,41
Alexander Steen,STL,LW,72,20,31,51,-3,26,218,5,1,9,2,0,39,28
Mike Santorelli,FA,C,82,20,21,41,-17,20,193,1,5,7,1,0,60,22
Joe Pavelski,DAL,RW,74,20,46,66,10,24,282,5,11,17,1,2,61,67
Ville Leino,FA,LW,81,19,34,53,14,22,117,2,5,6,0,0,35,40
Antoine Vermette,FA,C,82,19,28,47,0,60,183,3,3,7,1,0,123,47
Ryan Getzlaf,ANH,C,67,19,57,76,14,35,117,4,7,20,0,0,189,57
Mike Fisher,FA,C,82,19,17,36,-17,43,192,2,4,10,0,0,135,89
Henrik Sedin,FA,C,82,19,75,94,26,40,157,4,8,27,0,0,15,21
Jussi Jokinen,FA,LW,70,19,33,52,3,24,136,1,8,10,0,0,45,38
Lauri Korpikoski,FA,LW,79,19,21,40,17,20,103,4,0,1,2,2,87,50
Cal Clutterbuck,NYI,RW,76,19,15,34,-5,79,191,3,4,1,0,1,336,32
Radim Vrbata,FA,RW,79,19,29,48,5,20,240,2,10,7,0,0,42,22
Tuomo Ruutu,FA,LW,82,19,38,57,1,54,148,1,7,9,0,0,309,38
Evander Kane,SJ,LW,73,19,24,43,-12,68,234,2,4,4,0,0,154,32
Lee Stempniak,FA,RW,82,19,19,38,4,19,199,0,2,4,0,0,124,21
Michael Cammalleri,FA,LW,67,19,28,47,2,33,193,2,7,14,0,0,17,19
Mike Ribeiro,FA,C,82,19,52,71,-4,28,161,4,7,16,0,0,95,33
Blake Wheeler,WPG,RW,81,18,26,44,10,46,179,2,0,5,0,0,74,47
Rich Peverley,FA,C,82,18,23,41,-17,37,201,3,6,6,2,1,32,44
Jordan Eberle,NYI,RW,69,18,25,43,-12,22,158,5,4,7,2,0,32,17
Dominic Moore,FA,C,77,18,14,32,-12,52,175,3,6,1,0,0,80,42
Andrew Brunette,FA,LW,82,18,28,46,-7,16,117,3,8,10,0,0,27,31
Lubomir Visnovsky,FA,D,81,18,50,68,18,24,152,4,5,26,0,0,52,116
Ryan Jones,FA,LW,81,18,7,25,-5,34,126,2,2,2,1,0,152,57
Nicklas Backstrom,WAS,C,78,18,47,65,24,40,202,2,4,18,1,0,69,64
Mikael Samuelsson,FA,RW,75,18,32,50,8,36,215,2,5,14,0,0,76,21
Artem Anisimov,OTT,C,82,18,26,44,3,20,190,2,3,5,0,0,74,45
Milan Michalek,FA,LW,66,18,15,33,-12,49,167,0,1,3,4,0,49,41
Bryan Little,WPG,C,76,18,30,48,11,33,158,1,2,8,2,1,41,31
Taylor Pyatt,FA,LW,76,18,13,31,11,27,126,6,2,2,0,0,143,48
Tomas Holmstrom,FA,LW,73,18,19,37,-6,62,125,1,10,10,0,0,81,11
Michael Ryder,FA,RW,79,18,23,41,-1,26,165,6,8,6,0,0,70,19
Mikko Koivu,MIN,C,71,17,45,62,4,50,191,3,7,15,1,0,63,29
David Moss,FA,RW,58,17,13,30,9,18,127,3,5,2,0,0,92,32
Teddy Purcell,FA,RW,81,17,34,51,5,10,196,1,3,18,0,0,21,16
Brent Burns,SJ,D,80,17,29,46,-10,98,170,3,8,6,0,1,133,106
Pascal Dupuis,FA,RW,81,17,20,37,16,59,171,3,0,0,4,1,117,55
Simon Gagne,FA,LW,63,17,23,40,-12,20,154,3,7,8,0,0,49,20
Ray Whitney,FA,LW,75,17,40,57,0,24,156,1,3,23,0,0,29,15
Brad Boyes,FA,RW,83,17,38,55,13,36,178,3,6,7,0,0,67,33
David Legwand,FA,C,64,17,24,41,13,24,130,3,0,4,2,0,36,20
Bryan Bickell,FA,LW,78,17,20,37,6,40,130,2,2,1,0,0,178,13
Derick Brassard,NYI,C,74,17,30,47,-11,55,183,3,6,10,0,0,121,14
Martin Erat,FA,RW,64,17,33,50,14,22,135,3,7,8,0,0,57,21
Jason Arnott,FA,C,73,17,14,31,-6,40,169,1,4,4,0,0,42,11
Troy Brouwer,STL,RW,79,17,19,36,-2,38,122,5,7,6,0,0,261,36
Olli Jokinen,FA,C,79,17,37,54,-17,44,208,1,5,14,0,0,56,35
Todd Bertuzzi,FA,RW,81,16,29,45,-7,71,138,2,2,5,0,0,110,21
Chad LaRose,FA,RW,82,16,15,31,-21,59,176,0,2,1,1,1,196,23
Nikolay Zherdev,FA,RW,56,16,6,22,5,22,135,1,1,2,0,0,39,6
Colin Wilson,COL,LW,82,16,18,34,9,17,101,2,2,4,0,0,38,24
Nicklas Lidstrom,FA,D,82,16,46,62,-2,20,175,1,7,32,0,1,49,92
Jason Blake,FA,LW,76,16,16,32,-5,41,187,3,3,4,0,0,76,27
Brooks Laich,FA,C,82,16,32,48,14,46,207,3,4,9,1,2,113,54
Nathan Gerbe,CLS,LW,64,16,15,31,11,34,171,3,2,2,0,0,53,23
Alexei Kovalev,FA,RW,74,16,18,34,-6,44,151,3,6,4,0,0,14,8
Martin Hanzal,DAL,C,61,16,10,26,4,54,149,5,7,0,0,0,147,35
Valtteri Filppula,DET,C,71,16,23,39,-1,22,115,5,4,4,0,0,30,25
Antti Miettinen,FA,RW,73,16,19,35,-3,38,168,4,8,6,0,0,109,14
Kyle Brodziak,FA,C,80,16,21,37,-4,56,126,1,2,2,1,3,52,55
Shea Weber,MON,D,82,16,32,48,7,56,254,3,6,11,1,0,211,113
Nik Antropov,FA,C,76,16,25,41,-17,42,105,2,5,11,0,0,62,39
Saku Koivu,FA,C,75,15,30,45,-8,36,104,3,4,11,0,0,48,35
Dave Bolland,FA,C,61,15,22,37,11,34,102,1,4,8,0,0,41,35
Magnus Paajarvi,FA,LW,80,15,19,34,-13,16,180,0,3,6,0,0,22,25
Tyler Bozak,STL,C,82,15,17,32,-29,14,120,4,6,5,1,0,85,48
Mason Raymond,FA,LW,70,15,24,39,8,10,197,5,2,4,1,0,38,14
Sam Gagner,DET,C,68,15,27,42,-17,37,138,2,3,6,1,0,24,29
Evgeni Malkin,PIT,C,43,15,22,37,-4,18,182,3,5,9,0,0,32,11
Tomas Kopecky,FA,RW,81,15,27,42,-13,60,178,2,3,10,0,0,77,24
Brian Rolston,FA,LW,65,14,20,34,-6,34,168,4,6,5,0,1,67,20
Daniel Alfredsson,FA,RW,54,14,17,31,-19,18,96,1,7,5,0,0,41,21
Chris Kelly,FA,RW,81,14,14,28,-13,33,113,2,0,0,1,2,81,54
Ryan Malone,FA,LW,54,14,24,38,-3,51,149,1,9,9,0,0,125,19
Jakub Voracek,PHI,LW,80,14,32,46,-3,26,183,2,2,6,0,0,55,22
Kevin Porter,BUF,C,74,14,11,25,-11,27,102,3,1,1,0,0,126,29
Brandon Sutter,VAN,C,82,14,15,29,13,25,145,3,1,2,0,1,69,73
Kristian Huselius,FA,LW,39,14,9,23,-17,10,94,1,6,2,0,0,4,4
Mark Letestu,WPG,C,64,14,13,27,4,13,128,3,4,2,0,0,51,15
Wayne Simmonds,BUF,RW,80,14,16,30,-2,75,117,3,1,0,0,0,125,23
Zdeno Chara,BOS,D,81,14,30,44,33,88,264,2,8,7,1,1,153,111
Joffrey Lupul,FA,LW,54,14,17,31,-11,33,129,2,4,9,0,0,63,29
P.K. Subban,NJ,D,77,14,24,38,-8,124,197,3,9,9,0,0,110,106
Alex Goligoski,ARI,D,83,14,32,46,20,40,162,4,7,17,0,0,75,106
Anthony Stewart,FA,RW,80,14,25,39,-10,55,141,2,5,5,0,0,98,35
Nick Foligno,CLS,LW,82,14,20,34,-19,43,149,3,5,5,0,0,119,41
Mark Recchi,FA,RW,81,14,34,48,13,35,132,6,6,11,0,1,81,25
Marty Reasoner,FA,C,82,14,18,32,2,22,124,4,0,1,0,0,71,57
Max Pacioretty,VGK,LW,37,14,10,24,-1,39,112,2,7,1,0,0,67,13
Ales Hemsky,FA,RW,47,14,28,42,3,18,100,1,1,8,1,1,29,18
Sean Bergenheim,FA,LW,80,14,15,29,0,56,182,1,2,2,0,0,109,37
Raffi Torres,FA,LW,80,14,15,29,4,78,115,4,3,1,0,0,134,19
Christian Ehrhoff,FA,D,79,14,36,50,19,52,209,3,6,22,0,1,54,108
Eric Belanger,FA,C,82,13,27,40,11,36,127,2,1,4,1,0,71,45
Frans Nielsen,DET,C,71,13,31,44,13,38,156,1,0,8,7,1,23,63
Marcus Johansson,BUF,LW,69,13,14,27,2,10,102,2,2,1,1,0,47,22
Brandon Prust,FA,LW,82,13,16,29,2,160,87,1,0,1,5,2,161,36
Sergei Samsonov,FA,LW,78,13,27,40,-2,14,123,1,4,9,0,0,56,34
Patrick Eaves,ANH,RW,63,13,7,20,-2,14,108,1,2,0,1,0,106,27
Ryan O'Reilly,STL,C,74,13,13,26,-7,16,119,0,2,2,1,1,53,31
Tim Connolly,FA,C,68,13,29,42,-10,20,151,3,6,13,0,0,24,53
David Krejci,BOS,C,75,13,49,62,23,28,157,2,1,11,0,0,56,40
Jordan Leopold,FA,D,71,13,22,35,-11,36,134,1,5,6,0,0,49,123
Travis Zajac,NJ,C,82,13,31,44,-6,24,173,1,2,8,1,1,56,31
Dainius Zubrus,FA,RW,79,13,17,30,-11,53,115,2,1,2,0,1,106,32
Chris Higgins,FA,LW,62,13,15,28,5,16,160,0,1,0,0,1,80,36
Gregory Campbell,FA,C,80,13,16,29,11,93,98,1,1,1,1,3,119,52
Benoit Pouliot,FA,LW,79,13,17,30,2,87,129,4,1,0,0,0,110,20
Rob Schremp,FA,C,63,13,13,26,-20,16,83,3,4,3,0,0,34,21
Erik Karlsson,SJ,D,75,13,32,45,-30,50,182,4,4,17,0,1,32,74
Cory Stillman,FA,LW,65,12,27,39,5,24,116,2,3,9,0,0,64,30
Paul Gaustad,FA,C,81,12,19,31,7,101,117,3,1,1,0,1,128,44
David Clarkson,TOR,RW,82,12,6,18,-20,116,192,1,1,1,0,0,170,19
Matt Cullen,FA,C,78,12,27,39,-14,34,150,2,5,16,4,0,39,36
Mathieu Darche,FA,LW,59,12,14,26,7,10,90,1,2,5,0,0,73,30
Steve Ott,FA,C,82,12,20,32,-9,183,120,4,3,7,2,2,252,44
Niclas Bergfors,FA,RW,72,12,24,36,-9,8,152,1,3,6,0,0,12,13
Tomas Fleischmann,FA,LW,45,12,19,31,2,18,98,2,3,3,0,0,15,14
John Madden,FA,C,76,12,13,25,-9,10,107,4,1,1,1,0,43,59
Viktor Stalberg,FA,LW,77,12,12,24,2,43,135,3,0,1,0,0,102,25
Michal Handzus,FA,C,82,12,18,30,-5,20,94,3,4,6,0,1,86,48
Jochen Hecht,FA,LW,67,12,17,29,4,40,172,4,0,2,0,0,32,26
Wojtek Wolski,FA,LW,73,12,23,35,6,18,135,1,1,3,0,0,47,12
T.J. Oshie,WAS,RW,49,12,22,34,10,15,103,3,3,6,1,0,71,40
Pierre-Marc Bouchard,FA,LW,59,12,26,38,-3,14,98,2,0,10,0,0,15,10
Brandon Yip,FA,RW,71,12,10,22,-22,54,127,1,3,2,1,0,77,21
Darren Helm,DET,C,82,12,20,32,9,16,177,2,0,0,2,1,128,30
Matt Cooke,FA,LW,67,12,18,30,14,129,95,2,0,0,3,3,192,39
Jeff Halpern,FA,C,72,11,15,26,6,29,62,3,0,0,1,0,42,53
Matt Calvert,COL,LW,42,11,9,20,3,12,50,1,3,1,0,0,51,8
Drew Doughty,LA,D,76,11,29,40,13,68,139,3,5,10,0,0,137,101
Daniel Winnik,FA,LW,80,11,15,26,-2,35,167,1,2,3,2,1,54,52
Josh Bailey,NYI,LW,70,11,17,28,-13,37,102,2,5,4,0,3,47,41
Niklas Hagman,FA,LW,71,11,16,27,-2,24,140,0,4,3,0,0,35,12
Jordan Staal,CAR,C,42,11,19,30,7,24,91,4,3,4,0,2,70,13
Brandon McMillan,FA,LW,60,11,10,21,-5,18,77,2,2,1,2,2,53,24
Andreas Nodl,FA,RW,67,11,11,22,14,16,100,2,1,0,1,0,111,25
Keith Yandle,FLA,D,82,11,48,59,12,68,199,0,3,23,0,1,30,103
Anton Babchuk,CGY,D,82,11,24,35,14,32,132,2,6,7,1,1,19,156
Joe Corvo,FA,D,82,11,29,40,-14,18,191,1,5,18,1,0,55,119
Manny Malhotra,FA,C,72,11,19,30,9,22,111,2,3,3,1,1,57,74
Andrew Cogliano,DAL,LW,82,11,24,35,-12,64,129,3,0,5,1,2,89,46
Ryan Shannon,FA,RW,79,11,16,27,3,24,118,1,5,4,1,0,34,35
Niklas Kronwall,FA,D,77,11,26,37,5,36,131,3,5,8,0,0,113,129
Tyler Seguin,DAL,C,74,11,11,22,-4,18,131,0,1,2,0,0,20,21
Alex Pietrangelo,STL,D,79,11,32,43,18,19,161,1,4,10,0,1,57,121
Kyle Turris,NSH,C,65,11,14,25,0,16,116,1,0,1,0,0,30,15
Erik Christensen,FA,C,63,11,16,27,3,18,86,1,4,3,0,0,34,11
Michael Frolik,BUF,LW,80,11,27,38,2,30,251,1,1,5,0,0,52,37
Mikael Backlund,CGY,C,73,10,15,25,4,18,144,1,2,2,0,1,35,19
Tim Jackman,FA,RW,82,10,13,23,4,86,131,1,1,2,0,0,133,21
James Wisniewski,FA,D,75,10,41,51,-14,38,158,2,7,22,0,0,108,119
Cam Fowler,ANH,D,76,10,30,40,-25,20,123,3,6,17,0,0,45,93
Jiri Hudler,FA,RW,73,10,27,37,-7,28,105,2,3,9,0,0,35,11
Steve Sullivan,NJ,LW,44,10,12,22,4,28,79,1,3,4,0,0,18,10
Steve Downie,ARI,RW,57,10,22,32,8,171,83,1,2,3,0,0,94,21
Eric Fehr,FA,RW,52,10,10,20,0,16,120,1,3,4,0,0,34,20
Dennis Wideman,FA,D,75,10,30,40,-19,39,160,1,9,13,0,0,95,126
Drew Miller,FA,LW,67,10,8,18,-2,13,85,2,0,0,1,0,84,58
Joel Ward,FA,RW,80,10,19,29,-1,42,157,4,5,0,0,1,67,57
Jason Chimera,FA,LW,81,10,16,26,-10,64,162,1,2,1,0,0,98,16
Ruslan Fedotenko,FA,LW,66,10,15,25,9,25,120,0,0,2,1,0,150,50
Derek Roy,FA,C,35,10,25,35,-1,16,89,1,2,12,0,0,16,16
Toby Enstrom,FA,D,72,10,41,51,-10,54,113,0,6,22,0,1,30,137
Tyler Myers,VAN,D,80,10,27,37,0,40,122,5,3,11,0,0,107,98
Shawn Thornton,FA,LW,79,10,10,20,8,122,151,2,0,0,0,0,141,18
Nate Thompson,PHI,C,79,10,15,25,-6,29,123,2,0,1,1,0,115,81
Brad Winchester,FA,LW,76,10,6,16,-18,114,90,1,3,1,0,0,171,18
Bobby Butler,FA,RW,36,10,11,21,-16,10,73,3,1,4,0,0,28,15
J.P. Dumont,FA,RW,70,10,9,19,2,16,89,2,1,3,0,0,45,8
Chris Thorburn,FA,RW,82,9,10,19,-4,77,114,0,2,1,0,0,129,71
Brett Clark,FA,D,82,9,22,31,2,14,87,1,6,11,0,0,117,157
